scientificName,longitude,latitude,pr_ab,dnw,dsm,lst,ndvi,.part
"Gyps africanus Salvadori, 1865",31.538954,-25.005279,1,1.669224262,350.3276062,306.5363159,142.7930908,4
"Gyps africanus Salvadori, 1865",31.884359,-25.34958,1,1.000293851,201.9380188,313.3289185,81.62438202,5
"Gyps africanus Salvadori, 1865",31.307559,-22.426246,1,1.143335938,210.6567383,308.5591125,104.0120392,1
"Gyps africanus Salvadori, 1865",31.441725,-25.418164,1,0.247376651,374.4026184,306.6590576,134.6118774,2
"Gyps africanus Salvadori, 1865",31.628717,-23.837206,1,0,231.2374725,306.6409302,116.411644,4
"Gyps africanus Salvadori, 1865",31.795143,-24.620137,1,0.674663484,306.4947205,309.6188965,104.2095413,2
"Gyps africanus Salvadori, 1865",31.880039,-25.328539,1,0,192.2578888,309.6269836,96.64366913,4
"Gyps africanus Salvadori, 1865",31.756299,-24.333919,1,2.495425463,299.8686829,302.2195129,82.87018585,3
"Gyps africanus Salvadori, 1865",31.491624,-25.429488,1,0.989506602,353.6846008,310.0161743,121.8157883,5
"Gyps africanus Salvadori, 1865",31.582964,-24.982985,1,0.667752326,290.0151367,306.7904968,127.7588959,2
"Gyps africanus Salvadori, 1865",31.604771,-24.982428,1,0.494753301,296.6742554,306.8367615,134.187149,3
"Gyps africanus Salvadori, 1865",31.434696,-23.108103,1,0.672207057,285.7615051,309.3841553,99.84634399,2
"Gyps africanus Salvadori, 1865",31.624583,-24.957917,1,1.335613489,297.7269897,306.8099365,131.679657,3
"Gyps africanus Salvadori, 1865",31.54125,-25.374583,1,1.484259844,339.714386,309.0458984,97.75445557,1
"Gyps africanus Salvadori, 1865",31.79125,-25.29125,1,1.82509923,264.9072266,307.2723083,132.0602875,3
"Gyps africanus Salvadori, 1865",31.707917,-23.957917,1,2.607081175,257.6812439,305.6599426,132.6417542,2
"Gyps africanus Salvadori, 1865",31.707917,-25.124583,1,1.668555737,300.1613464,303.7886658,143.0252686,4
"Gyps africanus Salvadori, 1865",31.874583,-25.04125,1,0.448244542,237.6018372,306.7557678,135.7060242,2
"Gyps africanus Salvadori, 1865",31.707917,-24.957917,1,0.224276364,248.7843323,305.4263611,134.19104,5
"Gyps africanus Salvadori, 1865",31.874583,-25.207917,1,2.802776337,252.2407227,304.0696411,135.1261292,4
"Gyps africanus Salvadori, 1865",31.874583,-25.124583,1,2.237628937,212.7141113,306.3600464,129.2490234,1
"Gyps africanus Salvadori, 1865",31.874583,-25.29125,1,1.118326545,231.2737122,307.5841064,102.017128,3
"Gyps africanus Salvadori, 1865",31.207917,-22.457917,1,2.02107811,293.6137695,309.4399719,120.4482193,3
"Gyps africanus Salvadori, 1865",31.29125,-22.957917,1,0.455565155,326.937439,305.3450623,121.158577,1
"Gyps africanus Salvadori, 1865",31.29125,-22.457917,1,0.457231849,238.7764587,311.2260742,101.6222839,1
"Gyps africanus Salvadori, 1865",31.207917,-22.374583,1,0.67386657,223.9853516,305.6650085,128.0475006,5
"Gyps africanus Salvadori, 1865",31.29125,-25.04125,1,0.667605221,463.7887268,310.1860046,144.6742401,4
"Gyps africanus Salvadori, 1865",31.29125,-23.79125,1,2.50545764,343.0569763,306.6061096,119.7799988,5
"Gyps africanus Salvadori, 1865",31.54125,-25.124583,1,1.334795356,377.4967346,307.598877,127.98806,5
"Gyps africanus Salvadori, 1865",31.874583,-24.874583,1,2.730384111,316.7228394,307.1539917,135.7176361,1
"Gyps africanus Salvadori, 1865",31.624583,-24.457917,1,2.818615675,409.042511,306.5197144,103.5741272,4
"Gyps africanus Salvadori, 1865",31.457917,-25.457917,1,2.999739408,459.6493225,309.1303406,131.2645264,2
"Gyps africanus Salvadori, 1865",31.957917,-25.124583,1,1.431990266,196.9314728,308.3191223,122.2484055,5
"Gyps africanus Salvadori, 1865",31.707917,-25.374583,1,0.223509312,246.7143555,307.6022949,119.3743362,1
"Gyps africanus Salvadori, 1865",31.707917,-24.124583,1,0.669834018,260.9302673,306.9051819,118.9438019,4
"Gyps africanus Salvadori, 1865",31.79125,-24.374583,1,0.901301801,285.4151917,306.4336243,106.0891876,2
"Gyps africanus Salvadori, 1865",31.874583,-25.374583,1,0.223509312,176.8465424,308.7565918,112.5927353,1
"Gyps africanus Salvadori, 1865",31.207917,-25.124583,1,1.001125216,562.2542725,304.4708252,144.9928589,3
"Gyps africanus Salvadori, 1865",31.79125,-24.874583,1,3.815240622,349.7783508,306.1989136,143.2264099,4
"Gyps africanus Salvadori, 1865",31.874583,-24.79125,1,0.224579036,259.0271606,309.180481,110.1488953,2
"Gyps africanus Salvadori, 1865",31.04125,-22.707917,1,0.494753301,445.7491455,304.8560486,135.2857056,5
"Gyps africanus Salvadori, 1865",31.54125,-23.79125,1,0.494753301,261.7123108,306.1383667,120.6376648,5
"Gyps africanus Salvadori, 1865",31.374583,-23.04125,1,0.494753301,294.8267822,309.0971985,110.8840942,3
"Gyps africanus Salvadori, 1865",31.457917,-23.457917,1,1.961241245,370.2238464,307.0962219,104.6698837,3
"Gyps africanus Salvadori, 1865",31.624583,-23.874583,1,0.670413077,257.4502258,306.1063843,108.4319611,1
"Gyps africanus Salvadori, 1865",31.54125,-23.707917,1,0.452996224,295.9179382,306.7920837,138.0683746,3
"Gyps africanus Salvadori, 1865",31.374583,-25.04125,1,2.271057367,432.5586548,308.0861816,140.6702576,2
"Gyps africanus Salvadori, 1865",31.457917,-25.04125,1,0.494753301,379.4980164,306.395752,134.2781677,4
"Gyps africanus Salvadori, 1865",31.54125,-23.874583,1,1.170228362,279.6743164,308.4958496,114.7478943,1
"Gyps africanus Salvadori, 1865",31.810708,-24.756288,1,1.731636524,304.3983765,308.0408936,120.7705154,4
"Gyps africanus Salvadori, 1865",31.55701,-23.865829,1,0.22622335,254.3923035,307.2853394,119.870079,3
"Gyps africanus Salvadori, 1865",31.514614,-25.3565,1,0.247376651,331.7124023,309.0123901,130.797699,2
"Gyps africanus Salvadori, 1865",31.514894,-25.355806,1,0.247376651,331.7124023,309.0123901,130.797699,4
"Gyps africanus Salvadori, 1865",31.514733,-25.356347,1,0.247376651,331.7124023,309.0123901,130.797699,3
"Gyps africanus Salvadori, 1865",31.669661,-24.013956,1,0.494753301,234.4236603,306.3660889,111.1195297,1
"Gyps africanus Salvadori, 1865",31.518533,-25.313293,1,3.356044054,406.4641113,308.6352844,134.3301392,4
"Gyps africanus Salvadori, 1865",31.482593,-25.421317,1,1.333322525,356.9748535,308.7102661,136.6345367,3
"Gyps africanus Salvadori, 1865",31.675741,-25.391147,1,2.354864359,269.6152954,306.5202332,120.9009094,3
"Gyps africanus Salvadori, 1865",31.6083,-25.383963,1,0.446985722,281.3551636,305.7988586,105.5917969,5
"Gyps africanus Salvadori, 1865",31.746794,-25.316332,1,0.223620206,218.4025574,310.2739258,114.9477463,5
"Gyps africanus Salvadori, 1865",31.771956,-25.2883,1,0,221.0341187,306.4459534,133.3227386,3
"Gyps africanus Salvadori, 1865",31.839094,-25.070851,1,0.51188606,198.9429779,305.4155273,126.7632523,5
"Gyps africanus Salvadori, 1865",31.836794,-25.070101,1,0.716287315,198.9362335,305.643158,127.6159744,1
"Gyps africanus Salvadori, 1865",31.547361,-25.072009,1,1.023779273,376.3421326,308.4416809,129.9580536,2
"Gyps africanus Salvadori, 1865",31.626489,-24.971833,1,0,272.7929077,307.07901,119.7727737,1
"Gyps africanus Salvadori, 1865",31.628169,-24.968168,1,0.247376651,265.3504639,307.3457336,120.0661697,2
"Gyps africanus Salvadori, 1865",31.91567,-24.381461,1,0.669207335,212.3274841,306.8302917,110.3894272,5
"Gyps africanus Salvadori, 1865",31.915498,-24.380249,1,0.868227005,215.3230743,306.8460083,111.0522385,3
"Gyps africanus Salvadori, 1865",31.759108,-24.355134,1,3.463273048,311.953064,303.7218628,73.94933319,5
"Gyps africanus Salvadori, 1865",31.692096,-24.057957,1,0.494753301,215.0853271,308.1453857,106.3200455,5
"Gyps africanus Salvadori, 1865",31.686017,-24.058886,1,0.225888237,214.2890015,306.3175659,96.72718811,5
"Gyps africanus Salvadori, 1865",31.55474,-23.988385,1,1.54581666,315.4401245,304.9248657,123.2429428,4
"Gyps africanus Salvadori, 1865",31.031997,-22.68422,1,2.23805666,470.8773499,307.3919373,136.8571625,5
"Gyps africanus Salvadori, 1865",31.032074,-22.690634,1,1.501702666,457.6103516,306.1986389,135.8920441,1
"Gyps africanus Salvadori, 1865",31.016437,-22.691686,1,2.352949381,496.9847412,305.3151855,149.1853485,4
"Gyps africanus Salvadori, 1865",31.014559,-22.692851,1,2.397618532,473.3822327,304.9750366,149.6936188,5
"Gyps africanus Salvadori, 1865",31.015654,-22.691815,1,2.352949381,496.9847412,305.3151855,149.1853485,1
"Gyps africanus Salvadori, 1865",31.01781,-22.693072,1,2.02037859,464.3623352,305.3128052,145.6725769,3
"Gyps africanus Salvadori, 1865",31.23496,-22.426032,1,1.484259844,216.7720642,307.894165,98.18753052,4
"Gyps africanus Salvadori, 1865",31.247646,-22.420334,1,0.742129922,217.2165985,310.1753845,109.5049438,2
"Gyps africanus Salvadori, 1865",31.016819,-22.700192,1,1.891535878,464.7224426,304.4516907,145.1506195,5
"Gyps africanus Salvadori, 1865",31.374208,-23.324486,1,0.742129922,387.4613953,309.2553711,101.2838287,5
"Gyps africanus Salvadori, 1865",31.310963,-23.000735,1,0.227711409,308.6872253,308.7540588,110.7253723,4
"Gyps africanus Salvadori, 1865",31.4972,-24.9887,1,1.407974124,331.8629456,306.5716248,140.1730347,5
"Gyps africanus Salvadori, 1865",31.4927,-24.9862,1,1.001632571,334.9566956,306.9658813,130.7313995,4
"Gyps africanus Salvadori, 1865",31.214,-22.4406,1,0.228645235,230.8760223,308.5657959,113.0016861,5
"Gyps africanus Salvadori, 1865",31.589127,-25.045528,1,1.49491024,352.1665955,307.0717773,128.3474884,3
"Gyps africanus Salvadori, 1865",31.944735,-25.290931,1,2.02893281,221.7752075,307.7225342,96.68593597,5
"Gyps africanus Salvadori, 1865",31.54125,-23.29125,1,1.136086822,295.7998962,305.0946045,132.4787903,5
"Gyps africanus Salvadori, 1865",31.624583,-25.374583,1,1.429386377,308.2951965,305.9031372,118.6752014,5
"Gyps africanus Salvadori, 1865",31.79125,-24.29125,1,0.669425726,272.0715332,308.2018433,94.66252136,4
"Gyps africanus Salvadori, 1865",31.707917,-24.29125,1,3.666286707,321.2416992,308.1232605,80.26507568,3
"Gyps africanus Salvadori, 1865",31.54125,-25.04125,1,0.224122271,344.3437805,308.4945984,133.5161591,3
"Gyps africanus Salvadori, 1865",31.79125,-24.124583,1,0.669834018,283.6109924,308.2654114,113.9196854,5
"Gyps africanus Salvadori, 1865",31.29125,-22.874583,1,1.843868494,367.9750366,304.0658264,151.2027588,3
