field_1,decimalLatitude,decimalLongitude,country,scientificName,year,month,day,recordedBy,institutionCode
6,-24.620137,31.795143,South Africa,"Gyps africanus Salvadori, 1865",2023,1,18,Justin Ponder,iNaturalist
32,-24.457917,31.624583,South Africa,"Gyps africanus Salvadori, 1865",2023,1,27,Mr G Lockwood,FIAO
39,-24.374583,31.79125,South Africa,"Gyps africanus Salvadori, 1865",2023,1,3,Mr M Cronje,FIAO
50,-24.79125,31.874583,South Africa,"Gyps africanus Salvadori, 1865",2023,1,28,Mr D.R. McKenzie,FIAO
68,-24.756288,31.810708,South Africa,"Gyps africanus Salvadori, 1865",2023,2,10,Wagner,iNaturalist
69,-24.756288,31.810708,South Africa,"Gyps africanus Salvadori, 1865",2023,2,10,Wagner,iNaturalist
86,-24.381461,31.91567,South Africa,"Gyps africanus Salvadori, 1865",2023,2,6,Pavel Shukov,iNaturalist
87,-24.380249,31.915498,South Africa,"Gyps africanus Salvadori, 1865",2023,2,6,Pavel Shukov,iNaturalist
114,-24.79125,31.874583,South Africa,"Gyps africanus Salvadori, 1865",2023,2,3,Mr A WEIDEMAN,FIAO
119,-24.374583,31.79125,South Africa,"Gyps africanus Salvadori, 1865",2023,2,3,Mr A WEIDEMAN,FIAO
125,-24.374583,31.874583,South Africa,"Gyps africanus Salvadori, 1865",2023,2,4,Mr M Viljoen,FIAO
129,-24.707917,31.79125,South Africa,"Gyps africanus Salvadori, 1865",2023,2,9,Dr M Brown,FIAO
133,-24.624583,31.79125,South Africa,"Gyps africanus Salvadori, 1865",2023,2,12,R Minnaar,FIAO
172,-24.39686,31.740146,South Africa,"Gyps africanus Salvadori, 1865",2023,3,26,Richard Johnstone,iNaturalist
174,-24.386791,31.619957,South Africa,"Gyps africanus Salvadori, 1865",2023,3,14,User 11283,NA
177,-24.755122,31.8705,South Africa,"Gyps africanus Salvadori, 1865",2023,3,27,c69441c380ab6a290d706faedc4ef892355d8ac5958e26b10d7c8071c4869b01,NA
179,-24.424364,31.616405,South Africa,"Gyps africanus Salvadori, 1865",2023,3,29,be219cc53b254dfbb6f6d5e800fb651203f549c9bf1decd6f90b68edff457665,NA
186,-24.60308,31.790736,South Africa,"Gyps africanus Salvadori, 1865",2023,3,27,be219cc53b254dfbb6f6d5e800fb651203f549c9bf1decd6f90b68edff457665,NA
193,-24.39335,31.779866,South Africa,"Gyps africanus Salvadori, 1865",2023,4,3,8c277da98414903308197f07b47d45c3a7d280b6c9837f4e191b76055e5a964f,NA
200,-24.393709,31.607729,South Africa,"Gyps africanus Salvadori, 1865",2023,4,12,Daniel Correia,iNaturalist
201,-24.428909,31.616871,South Africa,"Gyps africanus Salvadori, 1865",2023,4,9,Daniel Correia,iNaturalist
216,-24.477289,31.398393,South Africa,"Gyps africanus Salvadori, 1865",2023,5,24,bcur155,iNaturalist
219,-24.569307,31.77965,South Africa,"Gyps africanus Salvadori, 1865",2023,6,21,katuchka,iNaturalist
221,-24.440501,31.827954,South Africa,"Gyps africanus Salvadori, 1865",2023,6,5,Corné Rautenbach,iNaturalist
223,-24.721439,31.833897,South Africa,"Gyps africanus Salvadori, 1865",2023,6,14,User 1804,NA
226,-24.599166,31.790159,South Africa,"Gyps africanus Salvadori, 1865",2023,7,3,Daniel France,iNaturalist
243,-24.605143,31.792087,South Africa,"Gyps africanus Salvadori, 1865",2023,8,14,Lynne Correia,iNaturalist
254,-24.57893,31.784122,South Africa,"Gyps africanus Salvadori, 1865",2023,8,11,User 400507,NA
260,-24.389272,31.728694,South Africa,"Gyps africanus Salvadori, 1865",2023,10,17,Ben Costamagna,iNaturalist
